"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/09/2017","AQS","080010008","3","3.7","ug/m3 LC","21","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/10/2017","AQS","080010008","3","4.1","ug/m3 LC","23","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/11/2017","AQS","080010008","3","8.3","ug/m3 LC","46","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/12/2017","AQS","080010008","3","11.7","ug/m3 LC","56","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/13/2017","AQS","080010008","3","23.6","ug/m3 LC","78","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/14/2017","AQS","080010008","3","26.7","ug/m3 LC","84","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/15/2017","AQS","080010008","3","28.9","ug/m3 LC","88","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/16/2017","AQS","080010008","3","8.5","ug/m3 LC","47","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/17/2017","AQS","080010008","3","16.1","ug/m3 LC","64","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
"01/18/2017","AQS","080010008","3","16.5","ug/m3 LC","65","Tri County Health Dept. Bldg.","1","100.0000","88101","PM2.5 - Local Conditions","195","GRIMM EDM Model 180 with naphion dryer","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.82835","-104.93836"
