"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/31/2014","AQS","080013001","3","6","ug/m3 SC","6","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/01/2014","AQS","080013001","3","8","ug/m3 SC","7","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/02/2014","AQS","080013001","3","13","ug/m3 SC","12","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/03/2014","AQS","080013001","3","33","ug/m3 SC","31","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/04/2014","AQS","080013001","3","31","ug/m3 SC","29","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/05/2014","AQS","080013001","3","10","ug/m3 SC","9","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/06/2014","AQS","080013001","3","13","ug/m3 SC","12","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/07/2014","AQS","080013001","3","2","ug/m3 SC","2","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/09/2014","AQS","080013001","3","4","ug/m3 SC","4","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/10/2014","AQS","080013001","3","18","ug/m3 SC","17","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/11/2014","AQS","080013001","3","28","ug/m3 SC","26","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/12/2014","AQS","080013001","3","9","ug/m3 SC","8","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/13/2014","AQS","080013001","3","15","ug/m3 SC","14","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
"06/14/2014","AQS","080013001","3","19","ug/m3 SC","18","Welby","1","100.0000","81102","PM10 Total 0-10um STP","19740","Denver-Aurora-Lakewood, CO","08","Colorado","001","Adams","39.8381190009282","-104.94984"
